person_id,body_id,body_name,member_type,title,start_date,end_date
18,9,BOARD OF PUBLIC WORKS,Member,,2002-05-21,2007-04-16
18,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2004-04-20,2005-04-19
18,4,BOARD OF ESTIMATES (ended 4/2017),Member,,2005-04-20,2006-04-17
18,170,WARNER PARK COMMUNITY RECREATION CENTER ADVISORY COM (prior to 11-7-2006).,Member,,2001-04-17,2006-11-07
18,42,COMMUNITY SERVICES COMMITTEE (ended 3/2025),Member,,2001-04-17,2007-04-16
18,158,PESTICIDE USE POLICY - AD HOC TASK FORCE ON (prior to 6-2004),Member,,2004-07-01,2004-07-08
18,59,SENIOR CITIZENS ADVISORY COMMITTEE (ended 5/2012),Member,,2001-04-17,2007-04-16
18,3,PLAN COMMISSION,Member,,2003-05-01,2005-04-30
18,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2005-05-03,2006-04-17
18,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2006-05-02,2006-09-18
18,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2006-09-19,2007-04-16
18,219,WARNER PARK STADIUM RENOVATION AD HOC COMMITTEE (prior to 2-21-2007),Member,,2006-10-16,2007-03-26
18,224,WARNER PARK COMMUNITY RECREATION CENTER ADVISORY SUBCOMMITTEE (ended 3-2023),Member,,2006-11-08,2007-04-16
18,200,NORTH MENDOTA PARKWAY IMPLEMENTATION OVERSIGHT COMMITTEE (Dane County) (ended 5/2013),Member,,2007-07-03,2111-11-11
18,200,NORTH MENDOTA PARKWAY IMPLEMENTATION OVERSIGHT COMMITTEE (Dane County) (ended 5/2013),Member,,2005-10-18,2007-04-17
18,59,SENIOR CITIZENS ADVISORY COMMITTEE (ended 5/2012),Member,,2007-07-03,2012-05-01
18,42,COMMUNITY SERVICES COMMITTEE (ended 3/2025),Member,Mr.,2007-11-20,2009-02-23
18,224,WARNER PARK COMMUNITY RECREATION CENTER ADVISORY SUBCOMMITTEE (ended 3-2023),Member,,2008-05-06,2014-01-06
18,245,NORTHPORT-WARNER PARK-SHERMAN NEIGHBORHOOD STEERING COMMITTEE (ended 11/2010),Member,,2008-09-16,2010-11-30
18,42,COMMUNITY SERVICES COMMITTEE (ended 3/2025),Member,,2009-02-24,2012-05-01
18,42,COMMUNITY SERVICES COMMITTEE (ended 3/2025),Member,Community Representative,2012-06-19,2016-02-29
63,169,VERONA ROAD/WEST BELTLINE HIGHWAY ADVISORY COMMITTEE (prior to 3-7-2005),Member,,2004-10-05,2005-03-07
63,161,SECTION 8 ADVISORY COMMITTEE (prior to 5-4-2006),Member,,2004-10-19,2005-04-19
63,103,BOARD OF EDUCATION - COMMON COUNCIL LIAISON COMMITTEE (prior to 6/12/2012),Member,,2004-10-05,2005-04-19
64,159,REGENT/PARK EXPANDED TID 26 AFFORDABLE HOUSING SET-ASIDE COMMITTEE (prior to 4-5-2007),Member,,2004-09-21,2005-04-19
64,137,CDA HOUSING OPERATIONS SUBCOMMITTEE (prior to 9-15-2009),Member,,2004-10-19,2005-04-19
64,107,MADISON HOUSING AUTHORITY,Member,,2004-09-20,2005-04-19
64,50,HOUSING COMMITTEE (ended 6/2012),Member,,2004-07-20,2005-04-15
64,128,SOUTH MADISON HEALTH AND FAMILY CENTER-HARAMBEE (ended 3/2011),Member,,2004-10-19,2005-04-19
64,172,WINGRA CREEK BUILD ADVISORY PROJECT TEAM (prior to 1-2-2006),Member,,2004-09-21,2005-04-19
64,132,ZOO COMMISSION - HENRY VILAS,Member,,2004-09-21,2005-04-19
64,91,COMMUNITY DEVELOPMENT AUTHORITY,Member,,2004-10-19,2005-04-19
64,152,JOINT SOUTHEAST CAMPUS AREA COMMITTEE (ended 3/2018),Member,,2004-09-21,2005-04-19
64,153,JOINT WEST CAMPUS AREA COMMITTEE (ended 3/2018),,,2004-09-21,2005-04-19
64,113,BAYVIEW FOUNDATION BOARD,Member,,2005-02-22,2005-04-19
64,196,CDA LONG RANGE PLANNING SUBCOMMITTEE (prior to 4-2-2009),Member,,2005-07-19,2009-03-03
64,225,REGENT STREET-SOUTH CAMPUS PLAN STEERING COMMITTEE (prior to 7-1-2008),Member,,2007-01-02,2008-07-01
64,264,CDA HOUSING OPERATIONS SUBCOMMITTEE,Member,,2009-09-24,2013-09-02
2,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2002-05-07,2004-04-19
2,3,PLAN COMMISSION,Member,,2003-05-01,2007-04-30
2,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Chair,,2004-04-20,2005-04-19
2,165,STATE STREET DESIGN PROJECT OVERSIGHT COMMITTEE (ended 12/12/2013),Member,,2002-05-21,2009-04-20
2,161,SECTION 8 ADVISORY COMMITTEE (prior to 5-4-2006),Member,,2005-04-20,2007-04-17
2,155,MID-STATE STREET PARKING RAMP COMMITTEE (prior to 11-15-2004),Member,,2002-09-03,2004-11-15
2,152,JOINT SOUTHEAST CAMPUS AREA COMMITTEE (ended 3/2018),Member,,2002-11-19,2005-04-30
2,141,EAST WASHINGTON AVENUE DESIGN OVERSIGHT COMMITTEE (prior to 1-19-2007),Member,,2002-09-03,2007-01-19
2,133,ALCOHOL AND OTHER DRUGS POLICY COMMITTEE (prior to 3-21-2006),Member,,2004-10-19,2006-03-21
2,177,BOARD OF ESTIMATES TIF SUBCOMMITTEE,Member,,2005-01-01,2006-09-28
2,142,EAST WASHINGTON/CAPITOL GATEWAY BUILD STEERING COMMITTEE(prior to 01/20/2010) ,Member,,2004-11-09,2009-04-20
2,53,LONG RANGE TRANSPORTATION PLANNING COMMITTEE (ended 6/2018),Member,,2003-07-15,2007-04-30
2,178,STREETCAR STUDY COMMITTEE (prior to 11-21-2007),Member,,2005-02-01,2005-04-27
2,16,TRANSIT AND PARKING COMMISSION (ended 06/2018),Member,,2001-04-17,2005-04-19
2,4,BOARD OF ESTIMATES (ended 4/2017),Member,,2004-04-20,2005-04-19
2,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2005-05-03,2006-04-18
2,45,EARLY CHILDHOOD CARE AND EDUCATION COMMITTEE,Member,,2006-02-21,2009-04-20
2,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2006-05-02,2009-04-20
2,208,INCLUSIONARY ZONING ADVISORY OVERSIGHT COMMITTEE (prior to 4-18-2009),Member,,2006-08-01,2007-04-30
2,216,TAX INCREMENTAL FINANCING POLICY AD HOC COMMITTEE,Member,,2006-10-17,2007-04-30
2,50,HOUSING COMMITTEE (ended 6/2012),Member,,2007-04-17,2009-04-20
2,232,JAMES MADISON PARK PROPERTY PLANNING COMMITTEE (work completed 1-14-2009),Member,,2007-04-17,2009-01-15
2,52,LANDMARKS COMMISSION,Member,,2007-04-17,2009-04-20
2,208,INCLUSIONARY ZONING ADVISORY OVERSIGHT COMMITTEE (prior to 4-18-2009),Member,,2007-05-01,2009-04-18
2,216,TAX INCREMENTAL FINANCING POLICY AD HOC COMMITTEE,Member,,2007-05-01,2009-03-31
2,199,LANDLORD AND TENANT ISSUES SUBCOMMITTEE (ended 6/2012),Member,,2007-04-19,2009-04-20
2,14,PUBLIC SAFETY REVIEW COMMITTEE,Member,Mayor or Designee,2019-08-06,2023-07-18
3,56,MONONA TERRACE COMMUNITY AND CONVENTION CENTER BOARD,Member,,1997-04-15,2010-08-01
